"Year";"Month";"Petrol_Delhi";"LPG_Delhi";"Petrol_Mumbai";"LPG_Mumbai";"Petrol_Chennai";"LPG_Chennai";"Petrol_Kolkata";"LPG_Kolkata"
2025;"Jun";94.77;819;103.5;819;100.8;835;105.41;846
2025;"Jul";94.77;809;103.5;809;100.8;825;105.41;836
2025;"Aug";94.77;809;103.5;809;100.8;825;105.41;836
2025;"Sep";94.77;809;103.5;809;100.8;825;105.41;836
2025;"Oct";94.77;835;103.5;835;100.8;851;105.41;861
2025;"Nov";94.77;860;103.5;860;100.8;876;105.41;886
2025;"Dec";94.77;885;103.53;885;100.8;901;105.41;911
2026;"Jan";94.77;900;103.54;900;100.84;916;105.45;926
2026;"Feb";94.77;1001;103.54;1001;100.84;1017;105.45;1028
2026;"Mar";94.77;950;103.54;950;100.84;966;105.45;976
2026;"Apr";94.77;1001;103.54;1001;100.84;1017;105.45;1028
2026;"May";97.62;1053;106.52;1053;103.53;1069;108.58;1079
2026;"Jun";102.12;1060;111.21;1065;107.77;1070;113.51;1075
